,inicio,varinicio,varfim,pt_v,id,inteiro,real,lit,leia,escreva,Literal,num,rcb,opm,se,entao,opr,fimse,fim,ab_p,fc_p,eof,erro
0,S2, , , , , , , , , , , , , , , , , , , , , , 
1, , , , , , , , , , , , , , , , , , , , , ,ACC, 
2, ,S4, , , , , , , , , , , , , , , , , , , , , 
3, , , , ,S12, , , ,S10,S11, , , , ,S14, , , ,S9, , , , 
4, , ,S17, ,S18, , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , ,R2, 
6, , , , ,S12, , , ,S10,S11, , , , ,S14, , , ,S9, , , , 
7, , , , ,S12, , , ,S10,S11, , , , ,S14, , , ,S9, , , , 
8, , , , ,S12, , , ,S10,S11, , , , ,S14, , , ,S9, , , , 
9, , , , , , , , , , , , , , , , , , , , , ,R30, 
10, , , , ,S23, , , , , , , , , , , , , , , , , , 
11, , , , ,S28, , , , , ,S26,S27, , , , , , , , , , , 
12, , , , , , , , , , , , ,S29, , , , , , , , , , 
13, , , , ,S12, , , ,S10,S11, , , , ,S14, , ,S34, , , , , 
14, , , , , , , , , , , , , , , , , , , ,S35, , , 
15, , , , ,R3, , , ,R3,R3, , , , ,R3, , , ,R3, , , , 
16, , ,S17, ,S18, , , , , , , , , , , , , , , , , , 
17,E1,E1,E1,S37,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
18, , , , , ,S39,S40,S41, , , , , , , , , , , , , , , 
19, , , , , , , , , , , , , , , , , , , , , ,R10, 
20, , , , ,R12, , , ,R12,R12, , , , ,R12, , ,R12,R12, , , , 
21, , , , , , , , , , , , , , , , , , , , , ,R16, 
22, , , , , , , , , , , , , , , , , , , , , ,R22, 
23,E1,E1,E1,S24,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
24, , , , ,R11, , , ,R11,R11, , , , ,R11, , ,R11,R11, , , , 
25,E1,E1,E1,S20,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
26,E1,E1,E1,R13,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
27,E1,E1,E1,R14,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
28,E1,E1,E1,R15,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
29, , , , ,S44, , , , , , ,S45, , , , , , , , , , , 
30, , , , ,R23, , , ,R23,R23, , , , ,R23, , ,R23,R23, , , , 
31, , , , ,S12, , , ,S10,S11, , , , ,S14, , ,S34, , , , , 
32, , , , ,S12, , , ,S10,S11, , , , ,S14, , ,S34, , , , , 
33, , , , ,S12, , , ,S10,S11, , , , ,S14, , ,S34, , , , , 
34, , , , ,R29, , , ,R29,R29, , , , ,R29, , ,R29,R29, , , , 
35, , , , ,S44, , , , , , ,S45, , , , , , , , , , , 
36, , , , ,R4, , , ,R4,R4, , , , ,R4, , , ,R4, , , , 
37, , , , ,R5, , , ,R5,R5, , , , ,R5, , , ,R5, , , , 
38,E1,E1,E1,S51,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
39,E1,E1,E1,R7,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
40,E1,E1,E1,R8,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
41,E1,E1,E1,R9,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
42,E1,E1,E1,S52,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
43, , , ,R19, , , , , , , , , ,S53, , , , , , , ,, 
44, , , ,R20, , , , , , , , , ,R20, , ,R20, , , ,R20, , 
45, , , ,R21, , , , , , , , , ,R21, , ,R21, , , ,R21, , 
46, , , , ,R26, , , ,R26,R26, , , , ,R26, , ,R26,R26, , , , 
47, , , , ,R27, , , ,R27,R27, , , , ,R27, , ,R27,R27, , , , 
48, , , , ,R28, , , ,R28,R28, , , , ,R28, , ,R28,R28, , , , 
49, , , , , , , , , , , , , , , , , , , , ,S54, , 
50, , , , , , , , , , , , , , , , ,S55, , , , , , 
51, , ,R6, ,R6, , , , , , , , , , , , , , , , , , 
52, , , , ,R17, , , ,R17,R17, , , , ,R17, , ,R17,R17, , , , 
53, , , , ,S44, , , , , , ,S45, , , , , , , , , , , 
54, , , , , , , , , , , , , , , ,S57, , , , , , , 
55, , , , ,S44, , , , , , ,S45, , , , , , , , , , , 
56,E1,E1,E1,R18,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
57, , , , ,R24, , , ,R24,R24, , , , ,R24, , ,R24, , , , , 
58, , , , , , , , , , , , , , , , , , , , ,R25, , 
